division,order_number,customer_name,proj_num,order_create_date,eck_date,BD_Act_Compl_Date,budget_hours,acutal_hours,Complexity,eck_lead_wks,eck_range_high,eck_range_low,include,days_to_book,eck_month,book_month,fiscal_year,above_limit
BUTLER,1803251401,"CINCINNATI COMMERCIAL CONTRACTING, LLC",18032514,2018-06-01,2018-09-12,2018-09-13,87,92.75,Simple (<=100),14.71,14.18,0.7,No,1,2018-09-01,2018-09-01,2019,0.530000000000001
BUTLER,1702978501,"U-HAUL INTERNATIONAL, INC.",17029785,2017-12-19,2018-04-19,2018-04-20,190,187.5,Moderate (100-200),17.29,16.75,1.48,No,1,2018-04-01,2018-04-01,2018,0.539999999999999
BUTLER,1803404501,THE FLEMING CONSTRUCTION GROUP LLC,18034045,2018-06-21,2018-10-31,2019-02-18,253,315.63,Complex (200-400),18.86,18.32,1.95,No,110,2018-10-01,2019-02-01,2019,0.539999999999999
VP,1803003601,ZAREMBA GROUP LLC,18030036,2018-05-02,2018-08-14,2018-08-14,92.21,121.55,Simple (<=100),14.86,14.31,0.74,No,0,2018-08-01,2018-08-01,2019,0.549999999999999
VP,1803720801,DUBLIN BUILDING SYSTEMS,18037208,2018-08-27,2018-11-29,2018-11-30,35,49,Simple (<=100),13.43,12.88,0.31,No,1,2018-11-01,2018-11-01,2019,0.549999999999999
VP,1701942901,C.R. MEYER AND SONS COMPANY,17019429,2017-11-01,2018-04-06,2018-04-06,389.75,832.65,Complex (200-400),22.29,21.74,2.97,No,0,2018-04-01,2018-04-01,2018,0.550000000000001
VP,1802777601,"FREDERICKS, INC.",18027776,2018-04-16,2018-07-24,2018-08-01,63.65,96.25,Simple (<=100),14.14,13.59,0.53,No,8,2018-07-01,2018-08-01,2019,0.550000000000001
VP,1802580601,"BUILDING STRUCTURES & EXTERIORS, LLC",18025806,2018-03-21,2018-06-27,2018-08-27,58.12,68.5,Simple (<=100),14,13.45,0.49,No,61,2018-06-01,2018-08-01,2018,0.550000000000001
VP,1701294101,"TEDESCO CONSTRUCTION SERVICES, INC.",17012941,2017-05-19,2017-09-07,2017-09-07,131.81,281.45,Moderate (100-200),15.86,15.3,1.04,No,0,2017-09-01,2017-09-01,2018,0.559999999999999
BUTLER,1900232301,"CONTINENTAL DIVIDE BUILDERS, LLC",19002323,2019-01-31,2019-05-16,2019-05-23,97,244,Simple (<=100),15,14.43,0.78,No,7,2019-05-01,2019-05-01,2019,0.57
VP,1900638701,"ROLAC CONTRACTING, INC.",19006387,2019-04-22,2019-07-19,2019-08-05,0,112.97,No Engineering Budget,12.57,12,0.05,No,17,2019-07-01,2019-08-01,2020,0.57
BUTLER,1700170701,"DESIGN SYSTEMS BUILDERS, INC.",17001707,2017-01-11,2017-05-24,2017-05-25,257,287.5,Complex (200-400),19,18.43,1.98,No,1,2017-05-01,2017-05-01,2017,0.57
BUTLER,1802613601,"BLUESCOPE CONST., INC - GOVT SERV.",18026136,2018-05-07,2018-08-03,2018-08-06,0,0,NA,12.57,12,0.05,No,3,2018-08-01,2018-08-01,2019,0.57
BUTLER,1900578001,"RIMMER & ROETER CONSTRUCTION, INC",19005780,2019-03-15,2019-07-16,2019-07-09,200,206,Moderate (100-200),17.57,17,1.55,No,-7,2019-07-01,2019-07-01,2020,0.57
BUTLER,1804158201,"EDIS BUILDING SYSTEMS, INC.",18041582,2018-10-01,2019-01-17,2019-01-18,114,116.25,Moderate (100-200),15.43,14.85,0.9,No,1,2019-01-01,2019-01-01,2019,0.58
BUTLER,1802953001,"U-HAUL INTERNATIONAL, INC.",18029530,2018-06-12,2018-10-04,2018-10-08,148,83.25,Moderate (100-200),16.29,15.7,1.16,No,4,2018-10-01,2018-10-01,2019,0.59
BUTLER,1901701901,"ALTMANN CONSTRUCTION COMPANY, INC.",19017019,2019-08-09,2020-01-16,NA,411,121.25,High Complex (400-800),22.86,22.27,3.13,No,NA,2020-01-01,NA,2020,0.59
BUTLER,1802647801,"T-A-H CONSTRUCTION, INC.",18026478,2018-03-26,2018-07-13,2018-07-16,119,189,Moderate (100-200),15.57,14.97,0.94,No,3,2018-07-01,2018-07-01,2019,0.6
VP,1702765301,"WHALEN CONSTRUCTION, INC.",17027653,2017-11-22,2018-06-01,2018-06-01,587.18,516.83,High Complex (400-800),27.29,26.68,4.45,No,0,2018-06-01,2018-06-01,2018,0.609999999999999
BUTLER,1802722901,2124140 ONTARIO INC.,18027229,2018-04-04,2018-08-20,2018-08-21,284,455.12,Complex (200-400),19.71,19.1,2.18,No,1,2018-08-01,2018-08-01,2019,0.609999999999999
VP,1802932001,DJ  CONSTRUCTION CO. INC.,18029320,2018-04-24,2018-08-07,2018-08-13,95,121.5,Simple (<=100),15,14.38,0.76,No,6,2018-08-01,2018-08-01,2019,0.619999999999999
VP,1802250001,"CLARK BROTHERS COMPANY, INC.",18022500,2018-04-09,2018-07-18,2018-07-18,66.74,34.5,Simple (<=100),14.29,13.67,0.55,No,0,2018-07-01,2018-07-01,2019,0.619999999999999
VP,1803611001,MICHAEL LICHTENBERG & SONS,18036110,2018-07-23,2018-10-30,2018-10-31,60.63,106.25,Simple (<=100),14.14,13.52,0.5,No,1,2018-10-01,2018-10-01,2019,0.620000000000001
BUTLER,1803371401,"C.W. BRINKLEY, INC.",18033714,2018-06-18,2018-09-25,2018-09-26,60,72.25,Simple (<=100),14.14,13.5,0.5,No,1,2018-09-01,2018-09-01,2019,0.640000000000001
BUTLER,1901475201,"RICE COMPANIES, INC",19014752,2019-07-08,2019-10-24,2019-10-25,111,171.96,Moderate (100-200),15.43,14.78,0.88,No,1,2019-10-01,2019-10-01,2020,0.65
VP,1900307101,"BAKER BUILDERS, LLC",19003071,2019-02-11,2019-05-23,2019-05-23,70.64,65.15,Simple (<=100),14.43,13.77,0.58,No,0,2019-05-01,2019-05-01,2019,0.66
VP,1702072001,"WOODRUFF CONSTRUCTION, LLC",17020720,2017-09-28,2018-03-15,2018-03-20,452.6,377.5,High Complex (400-800),24,23.32,3.44,No,5,2018-03-01,2018-03-01,2018,0.68
BUTLER,1802639201,"STANKER & GALETTO, INC.",18026392,2018-03-26,2018-08-09,2018-08-09,270,358.75,Complex (200-400),19.43,18.75,2.07,No,0,2018-08-01,2018-08-01,2019,0.68
BUTLER,1700410601,"DURA/CONSTRUCTORS, INC",17004106,2017-02-08,2017-06-13,2017-06-13,207,214,Complex (200-400),17.86,17.18,1.6,No,0,2017-06-01,2017-06-01,2017,0.68
BUTLER,1803068401,"EXXCEL PROJECT MANAGEMENT, LLC",18030684,2018-05-09,2018-08-29,2018-09-04,133,126.25,Moderate (100-200),16,15.32,1.05,No,6,2018-08-01,2018-09-01,2019,0.68
VP,1700433201,KERNEN CONSTRUCTION,17004332,2017-02-15,2017-06-23,2017-06-29,224.2,205.88,Complex (200-400),18.29,17.61,1.73,No,6,2017-06-01,2017-06-01,2017,0.68
VP,1900474901,"CANNON BUILDING SYSTEMS, INC.",19004749,2019-03-01,2019-06-10,2019-06-11,70.08,99.2,Simple (<=100),14.43,13.75,0.58,No,1,2019-06-01,2019-06-01,2019,0.68
BUTLER,1804308201,PHALEN STEEL CONSTRUCTION COMPANY,18043082,2018-10-18,2019-02-05,2019-02-05,121,340.5,Moderate (100-200),15.71,15.03,0.96,No,0,2019-02-01,2019-02-01,2019,0.680000000000001
VP,1901894501,"SCHWISOW CONSTRUCTION, INC.",19018945,2019-09-05,2020-01-09,NA,212.51,114,Complex (200-400),18,17.31,1.64,No,NA,2020-01-01,NA,2020,0.690000000000001
BUTLER,1901002801,THE SHERIDAN CORPORATION,19010028,2019-05-02,2019-09-19,2019-09-20,292,275.5,Complex (200-400),20,19.3,2.24,No,1,2019-09-01,2019-09-01,2020,0.699999999999999
VP,1803912601,RIEDEL-WILKS BLDG STRUCTURES INC.,18039126,2018-08-30,2018-12-19,2018-12-17,126.27,116.25,Moderate (100-200),15.86,15.16,1,No,-2,2018-12-01,2018-12-01,2019,0.699999999999999
